checking_account,duration_months,credit_history,purpose,credit_amount,savings_account,employment_length,installment_rate,personal_status,other_debtors,residence_years,property,age,other_installment_plans,housing,num_existing_credits,job,num_dependents,telephone,foreign_worker,credit_risk
0_to_200 DM,21,critical_account,furniture_equipment,2098,100_to_500 DM,1_to_4 years,2,male_single,none,4,building_society_savings,32,none,own,1,skilled_employee,1,yes_registered,yes,Bad
no_checking_account,11,existing_credits_paid_duly,domestic_appliances,3710,<100 DM,<1 year,1,male_single,none,2,building_society_savings,34,none,own,2,highly_qualified_employee,1,none,yes,Good
no_checking_account,23,existing_credits_paid_duly,business,3921,<100 DM,1_to_4 years,4,male_married_widowed,none,4,building_society_savings,54,none,own,2,skilled_employee,1,none,yes,Good
>200 DM,26,existing_credits_paid_duly,car_new,1218,<100 DM,1_to_4 years,2,male_single,none,4,unknown_no_property,46,bank,for_free,1,unskilled_resident,1,yes_registered,yes,Good
<0 DM,25,existing_credits_paid_duly,car_new,1021,<100 DM,<1 year,4,male_single,none,2,car_or_other,46,none,own,1,skilled_employee,2,yes_registered,yes,Good
<0 DM,32,existing_credits_paid_duly,education,1909,<100 DM,1_to_4 years,4,female_divorced_separated_married,guarantor,2,unknown_no_property,40,bank,own,1,skilled_employee,1,yes_registered,no,Bad
<0 DM,29,existing_credits_paid_duly,furniture_equipment,3304,<100 DM,1_to_4 years,4,female_single,none,2,real_estate,27,none,own,1,highly_qualified_employee,1,none,yes,Bad
no_checking_account,24,existing_credits_paid_duly,radio_television,1992,<100 DM,1_to_4 years,3,female_divorced_separated_married,co-applicant,2,car_or_other,36,stores,own,2,skilled_employee,1,none,yes,Good
>200 DM,19,no_credits_taken,business,599,unknown_no_savings,4_to_7 years,4,male_single,none,3,car_or_other,46,none,own,1,skilled_employee,1,yes_registered,yes,Good
no_checking_account,9,no_credits_taken,car_new,1030,100_to_500 DM,unemployed,3,male_single,none,3,car_or_other,26,none,own,2,unemployed_unskilled_non_resident,1,none,yes,Good
<0 DM,24,existing_credits_paid_duly,radio_television,1716,unknown_no_savings,>7 years,4,male_single,none,4,car_or_other,42,none,own,2,skilled_employee,1,none,yes,Good
no_checking_account,22,no_credits_taken,car_new,1714,500_to_1000 DM,4_to_7 years,3,male_single,none,3,car_or_other,65,none,own,3,unskilled_resident,1,none,yes,Good
no_checking_account,22,existing_credits_paid_duly,furniture_equipment,7192,<100 DM,1_to_4 years,2,female_divorced_separated_married,none,1,unknown_no_property,47,none,rent,1,skilled_employee,2,none,yes,Good
<0 DM,11,existing_credits_paid_duly,domestic_appliances,685,500_to_1000 DM,unemployed,3,male_single,none,4,car_or_other,52,bank,own,1,skilled_employee,1,none,yes,Good
<0 DM,12,critical_account,furniture_equipment,2575,<100 DM,>7 years,3,male_single,none,2,real_estate,38,stores,own,1,unskilled_resident,1,yes_registered,yes,Good
<0 DM,32,existing_credits_paid_duly,others,5127,100_to_500 DM,>7 years,4,male_married_widowed,none,4,unknown_no_property,46,none,rent,2,skilled_employee,1,none,yes,Bad
0_to_200 DM,19,existing_credits_paid_duly,radio_television,8866,<100 DM,1_to_4 years,4,female_divorced_separated_married,none,1,building_society_savings,30,none,own,2,unskilled_resident,1,yes_registered,yes,Bad
0_to_200 DM,27,existing_credits_paid_duly,car_used,1362,unknown_no_savings,1_to_4 years,4,female_single,none,4,real_estate,44,none,own,1,unskilled_resident,1,yes_registered,yes,Good
0_to_200 DM,20,critical_account,car_new,2550,<100 DM,<1 year,2,male_single,none,1,unknown_no_property,43,none,own,1,skilled_employee,1,yes_registered,yes,Good
0_to_200 DM,20,existing_credits_paid_duly,furniture_equipment,2694,<100 DM,4_to_7 years,4,male_married_widowed,none,2,building_society_savings,39,none,rent,1,unskilled_resident,1,yes_registered,yes,Good
no_checking_account,30,all_credits_paid_back,furniture_equipment,2073,unknown_no_savings,<1 year,3,male_single,none,1,car_or_other,50,none,own,1,skilled_employee,1,yes_registered,yes,Good
<0 DM,15,existing_credits_paid_duly,car_new,1687,<100 DM,1_to_4 years,4,male_single,none,4,real_estate,31,bank,own,1,unskilled_resident,1,yes_registered,yes,Good
0_to_200 DM,20,existing_credits_paid_duly,furniture_equipment,2453,100_to_500 DM,4_to_7 years,4,female_single,none,4,real_estate,34,bank,own,1,unskilled_resident,1,yes_registered,yes,Good
0_to_200 DM,16,existing_credits_paid_duly,furniture_equipment,307,500_to_1000 DM,1_to_4 years,1,female_single,none,2,building_society_savings,37,none,own,1,skilled_employee,1,yes_registered,yes,Good
0_to_200 DM,16,existing_credits_paid_duly,radio_television,2914,unknown_no_savings,1_to_4 years,4,male_single,none,4,real_estate,28,none,own,2,skilled_employee,1,yes_registered,yes,Good
no_checking_account,17,critical_account,radio_television,1975,unknown_no_savings,1_to_4 years,1,male_single,none,3,car_or_other,38,bank,own,1,unskilled_resident,1,yes_registered,yes,Good
<0 DM,22,existing_credits_paid_duly,radio_television,1547,unknown_no_savings,1_to_4 years,3,male_single,none,4,real_estate,23,none,own,1,skilled_employee,1,none,yes,Good
0_to_200 DM,16,delay_in_past,car_new,7576,<100 DM,unemployed,3,male_single,none,4,building_society_savings,47,none,own,1,skilled_employee,1,yes_registered,no,Bad
>200 DM,35,critical_account,car_new,1127,unknown_no_savings,<1 year,2,male_single,none,2,real_estate,37,none,own,2,skilled_employee,1,yes_registered,yes,Good
<0 DM,13,existing_credits_paid_duly,radio_television,1363,100_to_500 DM,>7 years,4,male_single,none,2,building_society_savings,32,none,own,1,unskilled_resident,1,yes_registered,yes,Good
no_checking_account,18,existing_credits_paid_duly,furniture_equipment,7288,100_to_500 DM,<1 year,1,male_married_widowed,none,4,car_or_other,29,none,own,2,skilled_employee,1,none,yes,Good
<0 DM,16,existing_credits_paid_duly,car_new,1009,<100 DM,4_to_7 years,2,female_divorced_separated_married,none,4,real_estate,34,none,own,1,skilled_employee,1,none,yes,Good
<0 DM,38,existing_credits_paid_duly,domestic_appliances,1230,100_to_500 DM,>7 years,4,male_single,none,4,car_or_other,43,none,rent,3,unskilled_resident,1,yes_registered,yes,Good
no_checking_account,21,existing_credits_paid_duly,radio_television,1631,unknown_no_savings,1_to_4 years,4,female_divorced_separated_married,none,4,unknown_no_property,41,none,own,2,highly_qualified_employee,1,none,yes,Good
no_checking_account,31,critical_account,radio_television,3256,unknown_no_savings,1_to_4 years,4,male_single,none,1,car_or_other,30,bank,own,1,highly_qualified_employee,2,yes_registered,no,Good
no_checking_account,10,critical_account,car_new,2091,<100 DM,1_to_4 years,4,female_divorced_separated_married,none,4,car_or_other,29,none,own,3,skilled_employee,1,yes_registered,yes,Bad
0_to_200 DM,22,existing_credits_paid_duly,radio_television,731,<100 DM,>7 years,4,male_single,none,2,real_estate,43,none,own,1,skilled_employee,2,yes_registered,yes,Good
<0 DM,29,existing_credits_paid_duly,radio_television,1245,<100 DM,>7 years,3,male_single,none,4,real_estate,30,stores,own,1,skilled_employee,1,yes_registered,yes,Good
no_checking_account,20,critical_account,radio_television,1181,unknown_no_savings,4_to_7 years,1,male_married_widowed,none,3,unknown_no_property,37,none,own,1,skilled_employee,2,yes_registered,yes,Good
0_to_200 DM,32,critical_account,radio_television,1712,100_to_500 DM,<1 year,2,female_divorced_separated_married,none,3,car_or_other,37,bank,own,1,skilled_employee,1,yes_registered,yes,Good
<0 DM,15,critical_account,domestic_appliances,2435,<100 DM,4_to_7 years,3,male_single,co-applicant,3,car_or_other,39,none,own,2,skilled_employee,1,yes_registered,yes,Bad
0_to_200 DM,37,no_credits_taken,radio_television,2422,<100 DM,1_to_4 years,4,male_single,none,2,car_or_other,45,none,for_free,2,skilled_employee,1,yes_registered,yes,Bad
<0 DM,56,delay_in_past,car_new,521,<100 DM,1_to_4 years,3,male_married_widowed,none,1,building_society_savings,26,none,own,1,skilled_employee,1,yes_registered,yes,Bad
no_checking_account,17,all_credits_paid_back,radio_television,3807,<100 DM,unemployed,4,male_single,none,4,real_estate,22,stores,own,1,skilled_employee,1,yes_registered,yes,Good
<0 DM,16,existing_credits_paid_duly,radio_television,2157,unknown_no_savings,<1 year,3,male_single,none,4,car_or_other,31,stores,own,1,highly_qualified_employee,1,yes_registered,yes,Good
no_checking_account,38,all_credits_paid_back,radio_television,4765,100_to_500 DM,>7 years,1,male_single,none,2,car_or_other,57,none,own,2,unemployed_unskilled_non_resident,2,none,yes,Good
0_to_200 DM,40,existing_credits_paid_duly,car_new,2467,<100 DM,1_to_4 years,2,male_married_widowed,none,4,building_society_savings,60,none,own,1,skilled_employee,1,none,yes,Bad
0_to_200 DM,15,delay_in_past,car_new,3908,<100 DM,1_to_4 years,4,male_divorced_separated,none,4,unknown_no_property,57,bank,own,2,highly_qualified_employee,1,yes_registered,yes,Bad
>200 DM,16,existing_credits_paid_duly,retraining,2506,<100 DM,1_to_4 years,4,male_single,none,2,building_society_savings,34,none,own,1,skilled_employee,1,none,yes,Good
<0 DM,17,existing_credits_paid_duly,radio_television,4639,unknown_no_savings,>7 years,4,female_single,none,2,building_society_savings,23,none,own,1,highly_qualified_employee,2,yes_registered,yes,Good
no_checking_account,10,existing_credits_paid_duly,business,2606,<100 DM,>7 years,2,male_single,none,4,unknown_no_property,20,bank,own,2,skilled_employee,1,none,yes,Good
no_checking_account,13,existing_credits_paid_duly,radio_television,1688,<100 DM,1_to_4 years,4,male_single,none,4,car_or_other,31,none,own,1,unskilled_resident,1,yes_registered,yes,Bad
no_checking_account,12,existing_credits_paid_duly,radio_television,8872,<100 DM,<1 year,2,male_single,none,3,car_or_other,34,none,own,1,skilled_employee,1,none,yes,Good
no_checking_account,14,existing_credits_paid_duly,radio_television,3368,100_to_500 DM,1_to_4 years,1,male_single,none,3,real_estate,50,none,own,1,skilled_employee,1,yes_registered,yes,Good
>200 DM,19,critical_account,retraining,2701,100_to_500 DM,>7 years,4,male_single,none,1,real_estate,45,none,own,1,skilled_employee,2,none,yes,Good
no_checking_account,22,all_credits_paid_back,radio_television,739,500_to_1000 DM,4_to_7 years,2,male_single,none,3,car_or_other,38,none,own,4,skilled_employee,1,yes_registered,yes,Good
<0 DM,40,all_credits_paid_back,radio_television,733,<100 DM,1_to_4 years,4,male_single,none,2,building_society_savings,29,none,rent,1,skilled_employee,1,none,yes,Bad
<0 DM,12,existing_credits_paid_duly,car_new,2219,<100 DM,4_to_7 years,2,male_single,none,2,car_or_other,28,none,own,1,skilled_employee,1,none,no,Good
<0 DM,31,critical_account,furniture_equipment,2001,<100 DM,1_to_4 years,4,male_married_widowed,none,4,unknown_no_property,38,none,own,1,skilled_employee,1,yes_registered,yes,Good
0_to_200 DM,18,delay_in_past,radio_television,1176,100_to_500 DM,>7 years,4,female_divorced_separated_married,none,4,car_or_other,43,none,rent,1,skilled_employee,1,none,yes,Good
0_to_200 DM,19,delay_in_past,car_used,1995,<100 DM,1_to_4 years,2,male_single,none,2,building_society_savings,40,none,own,2,skilled_employee,1,none,yes,Bad
<0 DM,27,existing_credits_paid_duly,car_new,5497,<100 DM,<1 year,4,male_single,none,2,car_or_other,28,none,own,3,skilled_employee,1,yes_registered,yes,Bad
no_checking_account,12,existing_credits_paid_duly,car_used,2941,unknown_no_savings,<1 year,2,male_single,none,4,building_society_savings,43,none,rent,2,unskilled_resident,1,none,yes,Good
0_to_200 DM,23,no_credits_taken,car_used,813,unknown_no_savings,1_to_4 years,4,female_divorced_separated_married,none,4,real_estate,40,none,own,1,skilled_employee,1,yes_registered,yes,Good
0_to_200 DM,21,delay_in_past,car_new,1672,<100 DM,>7 years,3,male_single,none,4,real_estate,28,none,own,1,skilled_employee,1,none,yes,Bad
0_to_200 DM,25,critical_account,furniture_equipment,1029,<100 DM,1_to_4 years,2,male_married_widowed,none,4,building_society_savings,30,none,own,1,highly_qualified_employee,2,none,yes,Bad
<0 DM,22,existing_credits_paid_duly,business,1378,<100 DM,>7 years,2,male_single,none,3,unknown_no_property,43,none,own,2,unemployed_unskilled_non_resident,2,yes_registered,yes,Bad
no_checking_account,60,critical_account,furniture_equipment,1353,100_to_500 DM,>7 years,2,female_single,none,4,real_estate,34,none,own,1,highly_qualified_employee,1,none,yes,Good
<0 DM,15,critical_account,car_new,1294,unknown_no_savings,1_to_4 years,4,female_single,none,2,real_estate,54,none,own,1,skilled_employee,1,yes_registered,yes,Bad
no_checking_account,15,existing_credits_paid_duly,car_new,750,<100 DM,unemployed,3,female_divorced_separated_married,none,2,unknown_no_property,41,bank,own,3,skilled_employee,1,yes_registered,yes,Good
no_checking_account,15,critical_account,radio_television,1653,<100 DM,<1 year,2,female_divorced_separated_married,guarantor,2,real_estate,32,none,rent,1,unskilled_resident,1,none,yes,Bad
<0 DM,15,all_credits_paid_back,furniture_equipment,1221,unknown_no_savings,4_to_7 years,3,female_single,none,3,car_or_other,36,none,for_free,1,skilled_employee,1,yes_registered,yes,Good
<0 DM,15,existing_credits_paid_duly,repairs,250,unknown_no_savings,<1 year,2,female_single,none,4,building_society_savings,37,none,own,1,skilled_employee,1,none,yes,Good
no_checking_account,34,existing_credits_paid_duly,radio_television,7608,<100 DM,1_to_4 years,4,female_divorced_separated_married,co-applicant,4,real_estate,30,none,rent,1,skilled_employee,1,none,yes,Good
no_checking_account,38,no_credits_taken,radio_television,3874,<100 DM,1_to_4 years,4,male_divorced_separated,none,2,unknown_no_property,29,none,own,1,skilled_employee,1,none,yes,Bad
no_checking_account,15,existing_credits_paid_duly,car_used,1389,<100 DM,4_to_7 years,3,female_divorced_separated_married,none,2,real_estate,43,none,own,1,skilled_employee,1,yes_registered,yes,Good
no_checking_account,13,existing_credits_paid_duly,radio_television,1832,<100 DM,<1 year,4,female_single,none,2,car_or_other,45,none,own,1,skilled_employee,1,yes_registered,yes,Good
<0 DM,24,existing_credits_paid_duly,car_used,796,unknown_no_savings,1_to_4 years,4,female_divorced_separated_married,none,2,real_estate,42,bank,own,1,skilled_employee,1,none,yes,Good
0_to_200 DM,15,existing_credits_paid_duly,business,5925,unknown_no_savings,1_to_4 years,2,male_single,none,3,real_estate,53,none,own,2,skilled_employee,1,yes_registered,yes,Good
<0 DM,26,all_credits_paid_back,radio_television,6823,500_to_1000 DM,1_to_4 years,4,male_married_widowed,none,4,real_estate,31,none,own,1,skilled_employee,1,yes_registered,yes,Bad
no_checking_account,22,existing_credits_paid_duly,car_used,2017,<100 DM,>7 years,3,male_divorced_separated,none,4,real_estate,55,none,own,2,highly_qualified_employee,1,none,no,Good
no_checking_account,10,existing_credits_paid_duly,car_used,3701,unknown_no_savings,<1 year,4,male_single,none,4,real_estate,29,bank,rent,1,skilled_employee,1,yes_registered,yes,Good
0_to_200 DM,40,existing_credits_paid_duly,car_new,2044,<100 DM,>7 years,4,male_single,none,4,car_or_other,28,none,for_free,1,skilled_employee,1,yes_registered,yes,Good
<0 DM,45,critical_account,radio_television,709,<100 DM,4_to_7 years,3,male_married_widowed,none,3,building_society_savings,23,none,for_free,3,skilled_employee,1,none,yes,Bad
0_to_200 DM,15,delay_in_past,car_new,1355,<100 DM,1_to_4 years,4,male_single,none,2,building_society_savings,32,none,own,1,skilled_employee,1,none,yes,Good
0_to_200 DM,16,critical_account,radio_television,1982,<100 DM,4_to_7 years,4,male_single,none,3,building_society_savings,32,none,own,1,skilled_employee,1,yes_registered,yes,Bad
no_checking_account,22,delay_in_past,car_used,1315,500_to_1000 DM,1_to_4 years,3,male_single,none,3,unknown_no_property,41,none,rent,2,unemployed_unskilled_non_resident,2,yes_registered,yes,Bad
no_checking_account,23,existing_credits_paid_duly,radio_television,1551,<100 DM,<1 year,4,female_divorced_separated_married,none,4,unknown_no_property,38,none,own,1,skilled_employee,1,yes_registered,yes,Good
